"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","129.00","132.85","133.20","128.55","7.10M","-1.38%"
"May 07, 2020","130.80","130.00","133.00","130.00","10.86M","-2.21%"
"May 06, 2020","133.75","139.35","139.35","133.15","10.43M","-3.08%"
"May 05, 2020","138.00","143.90","147.25","137.35","11.88M","-3.02%"
"May 04, 2020","142.30","144.70","144.70","140.35","8.36M","-4.18%"
"Apr 30, 2020","148.50","141.50","149.45","141.35","13.15M","6.19%"
"Apr 29, 2020","139.85","135.50","140.85","135.35","7.40M","3.29%"
"Apr 28, 2020","135.40","138.60","139.55","134.45","7.06M","-1.96%"
"Apr 27, 2020","138.10","139.00","139.70","137.50","4.24M","0.80%"
"Apr 24, 2020","137.00","140.60","143.80","135.80","11.70M","-2.77%"
"Apr 23, 2020","140.90","140.80","144.75","140.10","7.55M","0.14%"
"Apr 22, 2020","140.70","138.20","141.30","135.00","5.60M","1.22%"
"Apr 21, 2020","139.00","141.00","141.60","137.80","6.50M","-3.61%"
"Apr 20, 2020","144.20","149.90","149.90","143.00","7.14M","-3.06%"
"Apr 17, 2020","148.75","151.50","152.45","148.30","7.09M","0.92%"
"Apr 16, 2020","147.40","144.60","150.50","144.40","9.74M","0.37%"
"Apr 15, 2020","146.85","147.40","151.60","146.00","10.49M","0.65%"
"Apr 13, 2020","145.90","140.80","146.70","138.35","10.69M","3.62%"
"Apr 09, 2020","140.80","139.20","141.45","138.00","5.08M","2.51%"
"Apr 08, 2020","137.35","140.00","143.40","137.00","7.07M","-2.00%"
"Apr 07, 2020","140.15","140.30","142.40","137.15","8.21M","1.74%"
"Apr 03, 2020","137.75","138.60","139.90","131.80","10.94M","-1.22%"
"Apr 01, 2020","139.45","138.75","141.25","137.05","8.83M","-0.43%"
"Mar 31, 2020","140.05","135.10","142.35","134.25","15.00M","5.18%"
"Mar 30, 2020","133.15","127.55","134.75","127.20","12.36M","1.10%"
"Mar 27, 2020","131.70","125.90","132.95","125.00","18.33M","6.86%"
"Mar 26, 2020","123.25","126.00","127.00","119.20","28.36M","-1.00%"
"Mar 25, 2020","124.50","126.00","129.25","123.70","8.34M","-2.62%"
"Mar 24, 2020","127.85","129.25","135.00","125.45","9.99M","0.00%"
"Mar 23, 2020","127.85","122.50","134.85","120.05","17.89M","-3.73%"
"Mar 20, 2020","132.80","124.50","135.80","122.65","24.02M","7.49%"
"Mar 19, 2020","123.55","128.00","133.50","122.00","28.56M","-14.82%"
"Mar 18, 2020","145.05","151.60","151.85","143.00","18.74M","-0.58%"
"Mar 17, 2020","145.90","145.20","155.40","142.30","18.99M","1.39%"
"Mar 16, 2020","143.90","150.95","151.35","143.10","23.55M","-6.62%"
"Mar 13, 2020","154.10","146.25","161.55","123.65","43.33M","-0.29%"
"Mar 12, 2020","154.55","161.00","163.00","150.10","33.25M","-8.01%"
"Mar 11, 2020","168.00","158.10","169.90","157.05","28.40M","6.36%"
"Mar 09, 2020","157.95","165.80","166.70","156.95","23.97M","-6.40%"
"Mar 06, 2020","168.75","166.70","173.00","166.50","10.63M","-4.74%"
"Mar 05, 2020","177.15","180.00","180.20","172.20","12.35M","-0.53%"
"Mar 04, 2020","178.10","178.25","179.80","174.10","9.86M","-0.06%"
"Mar 03, 2020","178.20","171.35","179.65","170.90","17.02M","5.23%"
"Mar 02, 2020","169.35","172.65","175.00","168.30","11.96M","0.56%"
"Feb 28, 2020","168.40","171.55","171.80","166.75","14.69M","-3.27%"
"Feb 27, 2020","174.10","173.75","174.55","169.60","11.50M","0.17%"
"Feb 26, 2020","173.80","174.20","177.75","172.65","10.93M","-0.74%"
"Feb 25, 2020","175.10","176.10","178.70","174.20","13.53M","0.14%"
"Feb 24, 2020","174.85","178.75","178.90","173.30","9.95M","-2.51%"
